threshold,precision,recall,f1_score,true_negatives,false_positives,false_negatives,true_positives,false_positive_rate,false_negative_rate
0.5,0.821917808219178,0.8108108108108109,0.8163265306122449,42634,13,14,60,0.0003048280066593195,0.1891891891891892
0.3,0.75,0.8108108108108109,0.7792207792207793,42627,20,14,60,0.00046896616409126084,0.1891891891891892
0.2,0.6818181818181818,0.8108108108108109,0.7407407407407407,42619,28,14,60,0.0006565526297277652,0.1891891891891892
0.1,0.5849056603773585,0.8378378378378378,0.6888888888888889,42603,44,12,62,0.0010317255610007739,0.16216216216216217
0.05,0.47692307692307695,0.8378378378378378,0.6078431372549019,42579,68,12,62,0.0015944849579102869,0.16216216216216217
0.02,0.328125,0.8513513513513513,0.47368421052631576,42518,129,11,63,0.0030248317583886322,0.14864864864864866
0.01,0.23616236162361623,0.8648648648648649,0.3710144927536232,42440,207,10,64,0.004853799798344549,0.13513513513513514
